学期ID,教师ID,学科ID,班级ID
3,72,2,725
3,100,3,725
3,249,4,725
3,168,5,725
3,233,6,725
3,262,9,725
3,215,11,725
3,329,12,725
3,72,57,725
3,50,1,726
3,70,2,726
3,225,3,726
3,257,4,726
3,275,5,726
3,234,6,726
3,262,9,726
3,312,11,726
3,213,12,726
3,225,57,726
3,45,1,727
3,72,2,727
3,109,3,727
3,249,4,727
3,168,5,727
3,233,6,727
3,262,9,727
3,215,11,727
3,329,12,727
3,168,57,727
3,268,1,728
3,242,2,728
3,225,3,728
3,17,4,728
3,275,5,728
3,234,6,728
3,262,9,728
3,312,11,728
3,213,12,728
3,275,57,728
3,65,1,729
3,75,2,729
3,124,3,729
3,264,4,729
3,170,5,729
3,276,6,729
3,262,9,729
3,213,12,729
3,124,57,729
3,56,1,730
3,79,2,730
3,105,3,730
3,145,4,730
3,163,5,730
3,252,6,730
3,262,9,730
3,215,11,730
3,329,12,730
3,145,57,730
3,54,1,731
3,76,2,731
3,274,3,731
3,257,4,731
3,307,5,731
3,219,6,731
3,262,9,731
3,329,12,731
3,274,57,731
3,62,1,732
3,316,2,732
3,109,3,732
3,183,7,732
3,193,8,732
3,262,9,732
3,213,12,732
3,180,17,732
3,316,57,732
3,129,58,732
3,64,1,733
3,95,2,733
3,106,3,733
3,146,4,733
3,172,5,733
3,174,6,733
3,188,7,733
3,196,8,733
3,262,9,733
3,215,11,733
3,213,12,733
3,154,13,733
3,223,17,733
3,116,58,733
3,64,1,734
3,245,2,734
3,116,3,734
3,146,4,734
3,171,5,734
3,174,6,734
3,188,7,734
3,196,8,734
3,262,9,734
3,215,11,734
3,213,12,734
3,154,13,734
3,223,17,734
3,106,58,734
3,57,1,735
3,246,2,735
3,333,3,735
3,148,4,735
3,167,5,735
3,174,6,735
3,187,7,735
3,338,8,735
3,262,9,735
3,215,11,735
3,213,12,735
3,223,17,735
3,119,58,735
3,266,1,736
3,246,2,736
3,119,3,736
3,148,4,736
3,167,5,736
3,174,6,736
3,187,7,736
3,338,8,736
3,262,9,736
3,215,11,736
3,213,12,736
3,192,17,736
3,333,58,736
3,334,1,737
3,83,2,737
3,272,3,737
3,265,4,737
3,167,5,737
3,339,6,737
3,187,7,737
3,281,8,737
3,262,9,737
3,215,11,737
3,213,12,737
3,192,17,737
3,117,58,737
3,334,1,738
3,83,2,738
3,117,3,738
3,265,4,738
3,159,5,738
3,339,6,738
3,188,7,738
3,281,8,738
3,262,9,738
3,312,11,738
3,213,12,738
3,192,17,738
3,117,58,738
3,49,1,739
3,243,2,739
3,128,3,739
3,148,4,739
3,159,5,739
3,339,6,739
3,337,7,739
3,281,8,739
3,262,9,739
3,312,11,739
3,213,12,739
3,192,17,739
3,272,58,739
3,49,1,740
3,226,2,740
3,98,3,740
3,248,4,740
3,326,5,740
3,339,6,740
3,337,7,740
3,197,8,740
3,262,9,740
3,312,11,740
3,213,12,740
3,220,17,740
3,98,58,740
3,58,1,741
3,71,2,741
3,229,3,741
3,248,4,741
3,326,5,741
3,233,6,741
3,189,7,741
3,197,8,741
3,262,9,741
3,312,11,741
3,213,12,741
3,220,17,741
3,97,58,741
3,58,1,742
3,71,2,742
3,228,3,742
3,2,4,742
3,326,5,742
3,234,6,742
3,189,7,742
3,197,8,742
3,262,9,742
3,312,11,742
3,213,12,742
3,220,17,742
3,273,58,742
5,224,1,708
5,94,2,708
5,134,3,708
5,151,4,708
5,253,6,708
5,262,9,708
5,215,11,708
5,181,17,708
5,158,38,708
5,108,58,708
5,224,1,709
5,94,2,709
5,108,3,709
5,151,4,709
5,161,5,709
5,253,6,709
5,262,9,709
5,215,11,709
5,181,17,709
5,157,38,709
5,103,58,709
5,66,1,710
5,78,2,710
5,26,3,710
5,141,4,710
5,164,5,710
5,314,6,710
5,262,9,710
5,215,11,710
5,178,17,710
5,157,38,710
5,66,1,711
5,78,2,711
5,26,3,711
5,141,4,711
5,164,5,711
5,314,6,711
5,262,9,711
5,215,11,711
5,178,17,711
5,14,38,711
5,52,1,712
5,85,2,712
5,107,3,712
5,141,4,712
5,164,5,712
5,314,6,712
5,262,9,712
5,329,12,712
5,154,13,712
5,178,17,712
5,52,1,713
5,85,2,713
5,107,3,713
5,144,4,713
5,259,5,713
5,339,6,713
5,262,9,713
5,329,12,713
5,154,13,713
5,256,17,713
5,53,1,714
5,84,2,714
5,112,3,714
5,144,4,714
5,259,5,714
5,340,6,714
5,262,9,714
5,329,12,714
5,154,13,714
5,256,17,714
5,53,1,716
5,84,2,716
5,112,3,716
5,144,4,716
5,259,5,716
5,340,6,716
5,262,9,716
5,329,12,716
5,152,13,716
5,256,17,716
5,269,1,717
5,271,2,717
5,12,3,717
5,340,6,717
5,185,7,717
5,194,8,717
5,262,9,717
5,329,12,717
5,152,13,717
5,181,17,717
5,269,1,718
5,80,2,718
5,12,3,718
5,340,6,718
5,185,7,718
5,194,8,718
5,262,9,718
5,329,12,718
5,152,13,718
5,256,17,718
5,51,1,719
5,73,2,719
5,108,3,719
5,328,4,719
5,253,6,719
5,262,9,719
5,215,11,719
5,181,17,719
5,158,38,719
5,103,58,719
5,65,1,720
5,74,2,720
5,129,3,720
5,184,7,720
5,338,8,720
5,262,9,720
5,182,17,720
5,129,57,720
5,100,58,720
5,56,1,721
5,79,2,721
5,105,3,721
5,145,4,721
5,166,5,721
5,252,6,721
5,262,9,721
5,56,57,721
5,54,1,722
5,76,2,722
5,274,3,722
5,150,4,722
5,307,5,722
5,276,6,722
5,262,9,722
5,76,57,722
5,268,1,723
5,75,2,723
5,124,3,723
5,150,4,723
5,170,5,723
5,276,6,723
5,262,9,723
5,170,57,723
5,45,1,725
5,72,2,725
5,100,3,725
5,249,4,725
5,168,5,725
5,233,6,725
5,262,9,725
5,72,57,725
5,109,58,725
5,50,1,726
5,70,2,726
5,225,3,726
5,257,4,726
5,275,5,726
5,234,6,726
5,262,9,726
5,225,57,726
5,45,1,727
5,72,2,727
5,109,3,727
5,249,4,727
5,168,5,727
5,233,6,727
5,262,9,727
5,168,57,727
5,100,58,727
5,268,1,728
5,242,2,728
5,225,3,728
5,17,4,728
5,275,5,728
5,234,6,728
5,262,9,728
5,275,57,728
5,65,1,729
5,75,2,729
5,124,3,729
5,264,4,729
5,170,5,729
5,276,6,729
5,262,9,729
5,124,57,729
5,56,1,730
5,79,2,730
5,105,3,730
5,145,4,730
5,163,5,730
5,252,6,730
5,262,9,730
5,145,57,730
5,54,1,731
5,76,2,731
5,274,3,731
5,257,4,731
5,307,5,731
5,219,6,731
5,262,9,731
5,274,57,731
5,62,1,732
5,316,2,732
5,129,3,732
5,183,7,732
5,193,8,732
5,262,9,732
5,180,17,732
5,316,57,732
5,109,58,732
5,64,1,733
5,71,2,733
5,106,3,733
5,265,4,733
5,167,5,733
5,174,6,733
5,188,7,733
5,281,8,733
5,262,9,733
5,215,11,733
5,213,12,733
5,223,17,733
5,116,58,733
5,64,1,734
5,245,2,734
5,116,3,734
5,265,4,734
5,167,5,734
5,174,6,734
5,188,7,734
5,281,8,734
5,262,9,734
5,215,11,734
5,213,12,734
5,223,17,734
5,106,58,734
5,57,1,735
5,246,2,735
5,333,3,735
5,265,4,735
5,167,5,735
5,174,6,735
5,188,7,735
5,281,8,735
5,262,9,735
5,215,11,735
5,213,12,735
5,223,17,735
5,119,58,735
5,266,1,736
5,246,2,736
5,119,3,736
5,265,4,736
5,167,5,736
5,174,6,736
5,188,7,736
5,281,8,736
5,262,9,736
5,215,11,736
5,213,12,736
5,192,17,736
5,333,58,736
5,334,1,737
5,83,2,737
5,117,3,737
5,265,4,737
5,167,5,737
5,339,6,737
5,188,7,737
5,281,8,737
5,262,9,737
5,215,11,737
5,213,12,737
5,192,17,737
5,272,58,737
5,334,1,738
5,83,2,738
5,101,3,738
5,265,4,738
5,167,5,738
5,339,6,738
5,188,7,738
5,281,8,738
5,262,9,738
5,312,11,738
5,213,12,738
5,192,17,738
5,117,58,738
5,46,1,739
5,243,2,739
5,272,3,739
5,265,4,739
5,167,5,739
5,339,6,739
5,188,7,739
5,281,8,739
5,262,9,739
5,312,11,739
5,213,12,739
5,192,17,739
5,128,58,739
5,49,1,740
5,226,2,740
5,98,3,740
5,265,4,740
5,167,5,740
5,339,6,740
5,188,7,740
5,281,8,740
5,262,9,740
5,312,11,740
5,213,12,740
5,220,17,740
5,229,58,740
5,58,1,741
5,6,2,741
5,229,3,741
5,265,4,741
5,167,5,741
5,233,6,741
5,188,7,741
5,281,8,741
5,262,9,741
5,312,11,741
5,213,12,741
5,220,17,741
5,97,58,741
5,58,1,742
5,226,2,742
5,228,3,742
5,265,4,742
5,167,5,742
5,234,6,742
5,188,7,742
5,281,8,742
5,262,9,742
5,312,11,742
5,213,12,742
5,220,17,742
5,98,58,742
5,345,3,743
5,346,1,744
4,64,1,757
4,245,2,757
4,106,3,757
4,146,4,757
4,233,6,757
4,189,7,757
4,197,8,757
4,262,9,757
4,215,11,757
4,213,12,757
4,154,13,757
4,223,17,757
4,158,38,757
4,158,59,757
4,64,1,758
4,95,2,758
4,116,3,758
4,149,4,758
4,233,6,758
4,189,7,758
4,197,8,758
4,262,9,758
4,215,11,758
4,213,12,758
4,154,13,758
4,223,17,758
4,158,38,758
4,158,59,758
4,57,1,759
4,246,2,759
4,333,3,759
4,265,4,759
4,252,6,759
4,189,7,759
4,197,8,759
4,262,9,759
4,215,11,759
4,213,12,759
4,154,13,759
4,223,17,759
4,158,38,759
4,158,59,759
4,49,1,760
4,226,2,760
4,229,3,760
4,265,4,760
4,234,6,760
4,189,7,760
4,197,8,760
4,262,9,760
4,312,11,760
4,213,12,760
4,152,13,760
4,182,17,760
4,14,38,760
4,117,53,760
4,14,59,760
4,58,1,761
4,243,2,761
4,117,3,761
4,265,4,761
4,234,6,761
4,189,7,761
4,197,8,761
4,262,9,761
4,312,11,761
4,213,12,761
4,152,13,761
4,180,17,761
4,14,38,761
4,229,53,761
4,14,59,761
4,58,1,762
4,71,2,762
4,128,3,762
4,265,4,762
4,234,6,762
4,189,7,762
4,197,8,762
4,262,9,762
4,312,11,762
4,213,12,762
4,152,13,762
4,182,17,762
4,14,38,762
4,14,59,762
4,228,3,763
4,24,5,763
4,345,58,763
4,266,1,764
4,246,2,764
4,119,3,764
4,265,4,764
4,252,6,764
4,189,7,764
4,197,8,764
4,262,9,764
4,215,11,764
4,213,12,764
4,154,13,764
4,192,17,764
4,157,38,764
4,157,59,764
4,334,1,765
4,71,2,765
4,228,3,765
4,265,4,765
4,339,6,765
4,189,7,765
4,197,8,765
4,262,9,765
4,215,11,765
4,213,12,765
4,154,13,765
4,192,17,765
4,157,38,765
4,157,59,765
4,334,1,766
4,226,2,766
4,117,3,766
4,265,4,766
4,339,6,766
4,189,7,766
4,197,8,766
4,262,9,766
4,312,11,766
4,213,12,766
4,154,13,766
4,192,17,766
4,157,38,766
4,229,53,766
4,157,59,766
4,62,1,767
4,70,2,767
4,98,3,767
4,265,4,767
4,339,6,767
4,189,7,767
4,197,8,767
4,262,9,767
4,312,11,767
4,213,12,767
4,154,13,767
4,182,17,767
4,14,38,767
4,98,53,767
4,14,59,767
4,46,1,768
4,94,2,768
4,134,3,768
4,151,4,768
4,253,6,768
4,262,9,768
4,312,11,768
4,213,12,768
4,52,1,769
4,85,2,769
4,102,3,769
4,145,4,769
4,170,5,769
4,276,6,769
4,262,9,769
4,312,11,769
4,213,12,769
4,53,1,770
4,84,2,770
4,105,3,770
4,144,4,770
4,170,5,770
4,340,6,770
4,262,9,770
4,215,11,770
4,213,12,770
4,66,1,771
4,78,2,771
4,26,3,771
4,249,4,771
4,164,5,771
4,314,6,771
4,262,9,771
4,312,11,771
4,213,12,771
4,66,1,772
4,78,2,772
4,26,3,772
4,249,4,772
4,164,5,772
4,314,6,772
4,262,9,772
4,312,11,772
4,213,12,772
4,53,1,773
4,84,2,773
4,105,3,773
4,144,4,773
4,259,5,773
4,340,6,773
4,262,9,773
4,215,11,773
4,213,12,773
4,228,3,774
4,345,58,774
4,269,1,775
4,80,2,775
4,12,3,775
4,185,7,775
4,194,8,775
4,262,9,775
4,215,11,775
4,213,12,775
4,181,17,775
4,51,1,776
4,73,2,776
4,103,3,776
4,264,4,776
4,253,6,776
4,262,9,776
4,312,11,776
4,213,12,776
4,46,1,777
4,94,2,777
4,108,3,777
4,151,4,777
4,161,5,777
4,219,6,777
4,262,9,777
4,312,11,777
4,213,12,777
4,52,1,778
4,85,2,778
4,102,3,778
4,145,4,778
4,259,5,778
4,276,6,778
4,262,9,778
4,215,11,778
4,213,12,778
4,269,1,779
4,271,2,779
4,12,3,779
4,185,7,779
4,194,8,779
4,262,9,779
4,215,11,779
4,213,12,779
4,181,17,779
4,45,1,783
4,72,2,783
4,129,3,783
4,150,4,783
4,233,6,783
4,188,7,783
4,193,8,783
4,262,9,783
4,215,11,783
4,329,12,783
4,256,17,783
4,45,1,784
4,74,2,784
4,124,3,784
4,328,4,784
4,233,6,784
4,188,7,784
4,193,8,784
4,262,9,784
4,215,11,784
4,329,12,784
4,256,17,784
4,268,1,785
4,74,2,785
4,100,3,785
4,141,4,785
4,233,6,785
4,188,7,785
4,198,8,785
4,262,9,785
4,215,11,785
4,329,12,785
4,256,17,785
4,268,1,786
4,79,2,786
4,109,3,786
4,257,4,786
4,233,6,786
4,183,7,786
4,198,8,786
4,262,9,786
4,215,11,786
4,329,12,786
4,256,17,786
4,56,1,787
4,79,2,787
4,107,3,787
4,150,4,787
4,276,6,787
4,183,7,787
4,338,8,787
4,262,9,787
4,215,11,787
4,329,12,787
4,178,17,787
4,56,1,788
4,75,2,788
4,272,3,788
4,150,4,788
4,234,6,788
4,183,7,788
4,338,8,788
4,262,9,788
4,312,11,788
4,329,12,788
4,178,17,788
4,54,1,789
4,75,2,789
4,111,3,789
4,141,4,789
4,234,6,789
4,187,7,789
4,338,8,789
4,262,9,789
4,312,11,789
4,329,12,789
4,178,17,789
4,54,1,790
4,76,2,790
4,107,3,790
4,141,4,790
4,253,6,790
4,184,7,790
4,197,8,790
4,262,9,790
4,312,11,790
4,329,12,790
4,180,17,790
4,65,1,791
4,76,2,791
4,97,3,791
4,257,4,791
4,314,6,791
4,184,7,791
4,197,8,791
4,262,9,791
4,312,11,791
4,329,12,791
4,180,17,791
4,65,1,792
4,316,2,792
4,225,3,792
4,257,4,792
4,340,6,792
4,184,7,792
4,281,8,792
4,262,9,792
4,312,11,792
4,329,12,792
4,180,17,792
4,50,1,793
4,316,2,793
4,274,3,793
4,17,4,793
4,219,6,793
4,184,7,793
4,198,8,793
4,262,9,793
4,312,11,793
4,329,12,793
4,180,17,793
10,64,1,757
10,95,2,757
10,106,3,757
10,146,4,757
10,171,5,757
10,174,6,757
10,189,7,757
10,197,8,757
10,262,9,757
10,215,11,757
10,213,12,757
10,192,17,757
10,116,58,757
10,154,59,757
10,64,1,758
10,95,2,758
10,116,3,758
10,149,4,758
10,171,5,758
10,174,6,758
10,189,7,758
10,197,8,758
10,262,9,758
10,215,11,758
10,213,12,758
10,192,17,758
10,106,58,758
10,154,59,758
10,57,1,759
10,246,2,759
10,333,3,759
10,265,4,759
10,167,5,759
10,252,6,759
10,189,7,759
10,197,8,759
10,262,9,759
10,215,11,759
10,213,12,759
10,192,17,759
10,154,59,759
10,49,1,760
10,226,2,760
10,117,3,760
10,265,4,760
10,167,5,760
10,252,6,760
10,189,7,760
10,197,8,760
10,262,9,760
10,312,11,760
10,329,12,760
10,192,17,760
10,154,59,760
10,58,1,761
10,6,2,761
10,229,3,761
10,265,4,761
10,167,5,761
10,252,6,761
10,189,7,761
10,197,8,761
10,262,9,761
10,312,11,761
10,329,12,761
10,192,17,761
10,154,59,761
10,58,1,762
10,71,2,762
10,228,3,762
10,265,4,762
10,167,5,762
10,252,6,762
10,189,7,762
10,197,8,762
10,262,9,762
10,312,11,762
10,329,12,762
10,192,17,762
10,154,59,762
10,24,5,763
10,266,1,764
10,246,2,764
10,119,3,764
10,265,4,764
10,167,5,764
10,252,6,764
10,189,7,764
10,197,8,764
10,262,9,764
10,215,11,764
10,213,12,764
10,192,17,764
10,154,59,764
10,334,1,765
10,71,2,765
10,128,3,765
10,265,4,765
10,167,5,765
10,252,6,765
10,189,7,765
10,197,8,765
10,262,9,765
10,215,11,765
10,213,12,765
10,192,17,765
10,154,59,765
10,334,1,766
10,226,2,766
10,229,3,766
10,265,4,766
10,167,5,766
10,252,6,766
10,189,7,766
10,197,8,766
10,262,9,766
10,312,11,766
10,329,12,766
10,192,17,766
10,154,59,766
10,62,1,767
10,70,2,767
10,229,3,767
10,265,4,767
10,167,5,767
10,252,6,767
10,189,7,767
10,197,8,767
10,262,9,767
10,312,11,767
10,329,12,767
10,192,17,767
10,154,59,767
10,46,1,768
10,94,2,768
10,134,3,768
10,151,4,768
10,253,6,768
10,262,9,768
10,134,57,768
10,52,1,769
10,85,2,769
10,102,3,769
10,145,4,769
10,170,5,769
10,276,6,769
10,262,9,769
10,85,57,769
10,53,1,770
10,84,2,770
10,105,3,770
10,144,4,770
10,170,5,770
10,340,6,770
10,262,9,770
10,84,57,770
10,53,1,771
10,78,2,771
10,26,3,771
10,249,4,771
10,164,5,771
10,314,6,771
10,262,9,771
10,26,57,771
10,52,1,772
10,78,2,772
10,26,3,772
10,249,4,772
10,164,5,772
10,314,6,772
10,262,9,772
10,314,57,772
10,53,1,773
10,84,2,773
10,105,3,773
10,144,4,773
10,259,5,773
10,340,6,773
10,262,9,773
10,53,57,773
10,269,1,775
10,80,2,775
10,12,3,775
10,185,7,775
10,194,8,775
10,262,9,775
10,181,17,775
10,269,57,775
10,51,1,776
10,73,2,776
10,103,3,776
10,264,4,776
10,253,6,776
10,262,9,776
10,46,1,777
10,94,2,777
10,108,3,777
10,151,4,777
10,161,5,777
10,219,6,777
10,262,9,777
10,151,57,777
10,52,1,778
10,85,2,778
10,102,3,778
10,145,4,778
10,259,5,778
10,276,6,778
10,262,9,778
10,259,57,778
10,269,1,779
10,271,2,779
10,12,3,779
10,185,7,779
10,194,8,779
10,262,9,779
10,181,17,779
10,185,57,779
10,45,1,783
10,72,2,783
10,124,3,783
10,150,4,783
10,275,5,783
10,233,6,783
10,184,7,783
10,281,8,783
10,262,9,783
10,215,11,783
10,213,12,783
10,223,17,783
10,45,1,784
10,74,2,784
10,129,3,784
10,328,4,784
10,275,5,784
10,233,6,784
10,184,7,784
10,281,8,784
10,262,9,784
10,215,11,784
10,213,12,784
10,256,17,784
10,268,1,785
10,74,2,785
10,109,3,785
10,150,4,785
10,275,5,785
10,233,6,785
10,184,7,785
10,281,8,785
10,262,9,785
10,215,11,785
10,213,12,785
10,256,17,785
10,268,1,786
10,79,2,786
10,100,3,786
10,150,4,786
10,275,5,786
10,233,6,786
10,184,7,786
10,281,8,786
10,262,9,786
10,215,11,786
10,329,12,786
10,256,17,786
10,56,1,787
10,79,2,787
10,107,3,787
10,150,4,787
10,275,5,787
10,234,6,787
10,184,7,787
10,281,8,787
10,262,9,787
10,215,11,787
10,329,12,787
10,178,17,787
10,56,1,788
10,75,2,788
10,111,3,788
10,150,4,788
10,275,5,788
10,234,6,788
10,184,7,788
10,281,8,788
10,262,9,788
10,312,11,788
10,329,12,788
10,178,17,788
10,54,1,789
10,75,2,789
10,272,3,789
10,150,4,789
10,275,5,789
10,234,6,789
10,184,7,789
10,281,8,789
10,262,9,789
10,215,11,789
10,329,12,789
10,178,17,789
10,54,1,790
10,76,2,790
10,272,3,790
10,150,4,790
10,275,5,790
10,234,6,790
10,184,7,790
10,338,8,790
10,262,9,790
10,312,11,790
10,329,12,790
10,223,17,790
10,224,1,791
10,76,2,791
10,101,3,791
10,150,4,791
10,275,5,791
10,234,6,791
10,184,7,791
10,281,8,791
10,262,9,791
10,312,11,791
10,329,12,791
10,180,17,791
10,50,1,792
10,316,2,792
10,225,3,792
10,150,4,792
10,275,5,792
10,234,6,792
10,184,7,792
10,281,8,792
10,262,9,792
10,215,11,792
10,213,12,792
10,180,17,792
10,50,1,793
10,316,2,793
10,274,3,793
10,150,4,793
10,275,5,793
10,234,6,793
10,184,7,793
10,281,8,793
10,262,9,793
10,312,11,793
10,213,12,793
10,180,17,793
10,267,1,794
10,24,5,794
10,371,1,796
11,268,1,808
11,79,2,808
11,124,3,808
11,150,4,808
11,275,5,808
11,234,6,808
11,184,7,808
11,338,8,808
11,262,9,808
11,180,17,808
11,158,59,808
11,56,1,809
11,79,2,809
11,107,3,809
11,150,4,809
11,275,5,809
11,234,6,809
11,184,7,809
11,338,8,809
11,262,9,809
11,182,17,809
11,157,59,809
11,56,1,810
11,75,2,810
11,272,3,810
11,150,4,810
11,275,5,810
11,234,6,810
11,184,7,810
11,338,8,810
11,262,9,810
11,182,17,810
11,157,59,810
11,54,1,811
11,75,2,811
11,111,3,811
11,150,4,811
11,275,5,811
11,234,6,811
11,184,7,811
11,338,8,811
11,262,9,811
11,180,17,811
11,157,59,811
11,54,1,812
11,76,2,812
11,107,3,812
11,150,4,812
11,275,5,812
11,234,6,812
11,184,7,812
11,338,8,812
11,262,9,812
11,180,17,812
11,14,59,812
11,65,1,813
11,76,2,813
11,100,3,813
11,150,4,813
11,275,5,813
11,234,6,813
11,184,7,813
11,338,8,813
11,262,9,813
11,180,17,813
11,14,59,813
11,50,1,814
11,316,2,814
11,225,3,814
11,150,4,814
11,275,5,814
11,234,6,814
11,184,7,814
11,338,8,814
11,262,9,814
11,180,17,814
11,14,59,814
11,50,1,815
11,316,2,815
11,274,3,815
11,150,4,815
11,275,5,815
11,234,6,815
11,184,7,815
11,338,8,815
11,262,9,815
11,180,17,815
11,14,59,815
11,45,1,816
11,72,2,816
11,129,3,816
11,150,4,816
11,275,5,816
11,234,6,816
11,184,7,816
11,338,8,816
11,262,9,816
11,180,17,816
11,158,59,816
11,45,1,817
11,74,2,817
11,124,3,817
11,150,4,817
11,275,5,817
11,234,6,817
11,184,7,817
11,338,8,817
11,262,9,817
11,180,17,817
11,158,59,817
11,268,1,818
11,74,2,818
11,109,3,818
11,150,4,818
11,172,5,818
11,234,6,818
11,184,7,818
11,338,8,818
11,262,9,818
11,180,17,818
11,158,59,818
11,267,1,819
11,49,1,820
11,226,2,820
11,229,3,820
11,265,4,820
11,167,5,820
11,314,6,820
11,189,7,820
11,281,8,820
11,262,9,820
11,312,11,820
11,213,12,820
11,192,17,820
11,154,59,820
11,266,1,821
11,246,2,821
11,119,3,821
11,265,4,821
11,167,5,821
11,314,6,821
11,189,7,821
11,281,8,821
11,262,9,821
11,215,11,821
11,329,12,821
11,192,17,821
11,154,59,821
11,64,1,822
11,95,2,822
11,116,3,822
11,265,4,822
11,167,5,822
11,314,6,822
11,189,7,822
11,281,8,822
11,262,9,822
11,215,11,822
11,329,12,822
11,192,17,822
11,116,58,822
11,154,59,822
11,62,1,823
11,95,2,823
11,116,3,823
11,265,4,823
11,167,5,823
11,314,6,823
11,189,7,823
11,281,8,823
11,262,9,823
11,215,11,823
11,329,12,823
11,192,17,823
11,106,58,823
11,154,59,823
11,57,1,824
11,246,2,824
11,333,3,824
11,265,4,824
11,167,5,824
11,314,6,824
11,189,7,824
11,281,8,824
11,262,9,824
11,215,11,824
11,329,12,824
11,192,17,824
11,154,59,824
11,58,1,825
11,271,2,825
11,117,3,825
11,265,4,825
11,167,5,825
11,314,6,825
11,189,7,825
11,281,8,825
11,262,9,825
11,312,11,825
11,213,12,825
11,192,17,825
11,154,59,825
11,58,1,826
11,71,2,826
11,333,3,826
11,265,4,826
11,167,5,826
11,314,6,826
11,189,7,826
11,281,8,826
11,262,9,826
11,312,11,826
11,213,12,826
11,192,17,826
11,154,59,826
11,267,1,827
11,24,31,827
11,334,1,828
11,71,2,828
11,273,3,828
11,265,4,828
11,167,5,828
11,314,6,828
11,189,7,828
11,281,8,828
11,262,9,828
11,215,11,828
11,329,12,828
11,192,17,828
11,154,59,828
11,334,1,829
11,226,2,829
11,229,3,829
11,265,4,829
11,167,5,829
11,314,6,829
11,189,7,829
11,281,8,829
11,262,9,829
11,312,11,829
11,213,12,829
11,192,17,829
11,154,59,829
11,62,1,830
11,70,2,830
11,117,3,830
11,265,4,830
11,167,5,830
11,314,6,830
11,189,7,830
11,281,8,830
11,262,9,830
11,312,11,830
11,213,12,830
11,192,17,830
11,154,59,830
11,269,1,831
11,94,2,831
11,108,3,831
11,151,4,831
11,370,6,831
11,188,7,831
11,369,8,831
11,262,9,831
11,215,11,831
11,329,12,831
11,178,17,831
11,134,58,831
11,269,1,832
11,373,2,832
11,134,3,832
11,151,4,832
11,253,6,832
11,188,7,832
11,369,8,832
11,262,9,832
11,215,11,832
11,329,12,832
11,178,17,832
11,108,58,832
11,46,1,833
11,84,2,833
11,112,3,833
11,145,4,833
11,164,5,833
11,253,6,833
11,188,7,833
11,369,8,833
11,262,9,833
11,215,11,833
11,329,12,833
11,178,17,833
11,46,1,834
11,84,2,834
11,103,3,834
11,145,4,834
11,164,5,834
11,253,6,834
11,186,7,834
11,369,8,834
11,262,9,834
11,215,11,834
11,329,12,834
11,178,17,834
11,66,1,835
11,85,2,835
11,112,3,835
11,145,4,835
11,170,5,835
11,370,6,835
11,186,7,835
11,194,8,835
11,262,9,835
11,215,11,835
11,329,12,835
11,181,17,835
11,66,1,836
11,85,2,836
11,112,3,836
11,264,4,836
11,170,5,836
11,370,6,836
