考试ID,考试开始时间,考试类型,学科ID,学期ID
127425,2015/11/2 0:00,2,4,4
136515,2017/9/20 0:00,7,3,1
136502,2017/9/20 0:00,7,4,1
127576,2015/11/2 0:00,2,1,4
127697,2015/11/2 0:00,2,4,4
128769,2016/1/23 0:00,3,8,4
136522,2017/9/20 0:00,7,3,1
128010,2016/1/12 0:00,5,9,4
127424,2015/11/2 0:00,2,4,4
136509,2017/9/20 0:00,7,4,1
136496,2017/9/20 0:00,7,5,1
127426,2015/11/2 0:00,2,4,4
136483,2017/9/20 0:00,7,6,1
127403,2015/11/2 0:00,2,6,4
136470,2017/9/20 0:00,7,7,1
125346,2015/4/22 0:00,9,4,5
125273,2015/3/23 0:00,7,1,5
127528,2015/11/2 0:00,2,5,4
136457,2017/9/20 0:00,7,8,1
136601,2017/10/16 0:00,6,8,1
136575,2017/10/16 0:00,6,17,1
125213,2015/3/23 0:00,7,6,5
125271,2015/3/23 0:00,7,1,5
127719,2015/11/2 0:00,2,2,4
127678,2015/11/2 0:00,2,5,4
127396,2015/11/2 0:00,2,8,4
125265,2015/3/23 0:00,7,1,5
127309,2015/8/30 0:00,19,8,4
127434,2015/11/2 0:00,2,3,4
136562,2017/10/16 0:00,6,59,1
127402,2015/11/2 0:00,2,6,4
127518,2015/11/2 0:00,2,6,4
125227,2015/3/23 0:00,7,5,5
125762,2015/5/4 0:00,6,2,5
125887,2015/5/7 0:00,18,9,5
125286,2015/3/23 0:00,7,57,5
125270,2015/3/23 0:00,7,1,5
136664,2017/10/16 0:00,6,3,1
136651,2017/10/16 0:00,6,4,1
136638,2017/10/16 0:00,6,5,1
125311,2015/4/22 0:00,9,17,5
125325,2015/4/22 0:00,9,6,5
136625,2017/10/16 0:00,6,6,1
136526,2017/9/20 0:00,7,3,1
125357,2015/4/22 0:00,9,3,5
125353,2015/4/22 0:00,9,3,5
136513,2017/9/20 0:00,7,4,1
125349,2015/4/22 0:00,9,3,5
136500,2017/9/20 0:00,7,5,1
136487,2017/9/20 0:00,7,6,1
125352,2015/4/22 0:00,9,3,5
125361,2015/4/22 0:00,9,2,5
136474,2017/9/20 0:00,7,7,1
125301,2015/4/22 0:00,9,57,5
125320,2015/4/22 0:00,9,6,5
125223,2015/3/23 0:00,7,5,5
125272,2015/3/23 0:00,7,1,5
125276,2015/3/23 0:00,7,57,5
136461,2017/9/20 0:00,7,8,1
136518,2017/9/20 0:00,7,3,1
125304,2015/4/22 0:00,9,57,5
125212,2015/3/23 0:00,7,6,5
136505,2017/9/20 0:00,7,4,1
125348,2015/4/22 0:00,9,3,5
125266,2015/3/23 0:00,7,1,5
125269,2015/3/23 0:00,7,1,5
127442,2015/11/2 0:00,2,2,4
127765,2015/11/2 0:00,2,38,4
136492,2017/9/20 0:00,7,5,1
135789,2017/6/28 0:00,3,4,2
135790,2017/6/28 0:00,3,5,2
125347,2015/4/22 0:00,9,3,5
125369,2015/4/22 0:00,9,2,5
127693,2015/11/2 0:00,2,4,4
129101,2016/1/23 0:00,3,2,4
125309,2015/4/22 0:00,9,57,5
137045,2017/11/15 0:00,2,8,1
137036,2017/11/15 0:00,2,8,1
127554,2015/11/2 0:00,2,3,4
127736,2015/11/2 0:00,2,6,4
127540,2015/11/2 0:00,2,4,4
127547,2015/11/2 0:00,2,4,4
136479,2017/9/20 0:00,7,6,1
127397,2015/11/2 0:00,2,8,4
127737,2015/11/2 0:00,2,6,4
127656,2015/11/2 0:00,2,7,4
127711,2015/11/2 0:00,2,2,4
127698,2015/11/2 0:00,2,3,4
125365,2015/4/22 0:00,9,2,5
125339,2015/4/22 0:00,9,4,5
137037,2017/11/15 0:00,2,8,1
136466,2017/9/20 0:00,7,7,1
135791,2017/6/28 0:00,3,6,2
127645,2015/11/2 0:00,2,8,4
127644,2015/11/2 0:00,2,8,4
127417,2015/11/2 0:00,2,5,4
127556,2015/11/2 0:00,2,3,4
127401,2015/11/2 0:00,2,6,4
127758,2015/11/2 0:00,2,38,4
127763,2015/11/2 0:00,2,38,4
125317,2015/4/22 0:00,9,6,5
125323,2015/4/22 0:00,9,6,5
136859,2017/11/15 0:00,2,17,1
137088,2017/11/15 0:00,2,4,1
125362,2015/4/22 0:00,9,2,5
125302,2015/4/22 0:00,9,57,5
125355,2015/4/22 0:00,9,3,5
128805,2016/1/23 0:00,3,5,4
135792,2017/6/28 0:00,3,7,2
137097,2017/11/15 0:00,2,4,1
135793,2017/6/28 0:00,3,8,2
135797,2017/6/28 0:00,3,17,2
136453,2017/9/20 0:00,7,8,1
136663,2017/10/16 0:00,6,3,1
136650,2017/10/16 0:00,6,4,1
136637,2017/10/16 0:00,6,5,1
136624,2017/10/16 0:00,6,6,1
127431,2015/11/2 0:00,2,3,4
125307,2015/4/22 0:00,9,57,5
125345,2015/4/22 0:00,9,4,5
127448,2015/11/2 0:00,2,2,4
127809,2015/12/17 0:00,9,6,4
127679,2015/11/2 0:00,2,5,4
127680,2015/11/2 0:00,2,5,4
127682,2015/11/2 0:00,2,5,4
127485,2015/11/2 0:00,2,17,4
127517,2015/11/2 0:00,2,7,4
125679,2015/4/27 0:00,2,38,5
127413,2015/11/2 0:00,2,5,4
127651,2015/11/2 0:00,2,7,4
127704,2015/11/2 0:00,2,3,4
127757,2015/11/2 0:00,2,38,4
127652,2015/11/2 0:00,2,7,4
127706,2015/11/2 0:00,2,3,4
127756,2015/11/2 0:00,2,38,4
127575,2015/11/2 0:00,2,1,4
127695,2015/11/2 0:00,2,4,4
127384,2015/11/2 0:00,2,17,4
127548,2015/11/2 0:00,2,3,4
135802,2017/6/28 0:00,3,5,2
136611,2017/10/16 0:00,6,7,1
136598,2017/10/16 0:00,6,8,1
135803,2017/6/28 0:00,3,6,2
135804,2017/6/28 0:00,3,7,2
125351,2015/4/22 0:00,9,3,5
125367,2015/4/22 0:00,9,2,5
136572,2017/10/16 0:00,6,17,1
136559,2017/10/16 0:00,6,59,1
127788,2015/12/17 0:00,9,17,4
127674,2015/11/2 0:00,2,5,4
136661,2017/10/16 0:00,6,3,1
127440,2015/11/2 0:00,2,2,4
137041,2017/11/15 0:00,2,8,1
136904,2017/11/15 0:00,2,6,1
127551,2015/11/2 0:00,2,3,4
127714,2015/11/2 0:00,2,2,4
135805,2017/6/28 0:00,3,8,2
135809,2017/6/28 0:00,3,17,2
136648,2017/10/16 0:00,6,4,1
127683,2015/11/2 0:00,2,5,4
135812,2017/6/28 0:00,3,1,2
127421,2015/11/2 0:00,2,4,4
127688,2015/11/2 0:00,2,4,4
135813,2017/6/28 0:00,3,2,2
127640,2015/11/2 0:00,2,8,4
128794,2016/1/23 0:00,3,5,4
127686,2015/11/2 0:00,2,4,4
127649,2015/11/2 0:00,2,8,4
127642,2015/11/2 0:00,2,8,4
127696,2015/11/2 0:00,2,4,4
127691,2015/11/2 0:00,2,4,4
136635,2017/10/16 0:00,6,5,1
127415,2015/11/2 0:00,2,5,4
127455,2015/11/2 0:00,2,1,4
135814,2017/6/28 0:00,3,3,2
135815,2017/6/28 0:00,3,4,2
127549,2015/11/2 0:00,2,3,4
127596,2015/11/2 0:00,2,17,4
127418,2015/11/2 0:00,2,4,4
127423,2015/11/2 0:00,2,4,4
127638,2015/11/2 0:00,2,8,4
127727,2015/11/2 0:00,2,1,4
127804,2015/12/17 0:00,9,7,4
127449,2015/11/2 0:00,2,1,4
127648,2015/11/2 0:00,2,8,4
127764,2015/11/2 0:00,2,38,4
127412,2015/11/2 0:00,2,5,4
127762,2015/11/2 0:00,2,38,4
125299,2015/4/22 0:00,9,57,5
125350,2015/4/22 0:00,9,3,5
127409,2015/11/2 0:00,2,5,4
125358,2015/4/22 0:00,9,3,5
136622,2017/10/16 0:00,6,6,1
136609,2017/10/16 0:00,6,7,1
136612,2017/10/16 0:00,6,7,1
136599,2017/10/16 0:00,6,8,1
136573,2017/10/16 0:00,6,17,1
136560,2017/10/16 0:00,6,59,1
136596,2017/10/16 0:00,6,8,1
136570,2017/10/16 0:00,6,17,1
136607,2017/10/16 0:00,6,7,1
136594,2017/10/16 0:00,6,8,1
136568,2017/10/16 0:00,6,17,1
136555,2017/10/16 0:00,6,59,1
136557,2017/10/16 0:00,6,59,1
136658,2017/10/16 0:00,6,3,1
136630,2017/10/16 0:00,6,6,1
136617,2017/10/16 0:00,6,7,1
136604,2017/10/16 0:00,6,8,1
136578,2017/10/16 0:00,6,17,1
136565,2017/10/16 0:00,6,59,1
136645,2017/10/16 0:00,6,4,1
136632,2017/10/16 0:00,6,5,1
136619,2017/10/16 0:00,6,6,1
136606,2017/10/16 0:00,6,7,1
136593,2017/10/16 0:00,6,8,1
136567,2017/10/16 0:00,6,17,1
136554,2017/10/16 0:00,6,59,1
136667,2017/10/16 0:00,6,3,1
136654,2017/10/16 0:00,6,4,1
136641,2017/10/16 0:00,6,5,1
136628,2017/10/16 0:00,6,6,1
136615,2017/10/16 0:00,6,7,1
136602,2017/10/16 0:00,6,8,1
136660,2017/10/16 0:00,6,3,1
136647,2017/10/16 0:00,6,4,1
136634,2017/10/16 0:00,6,5,1
136621,2017/10/16 0:00,6,6,1
136608,2017/10/16 0:00,6,7,1
136595,2017/10/16 0:00,6,8,1
136569,2017/10/16 0:00,6,17,1
136556,2017/10/16 0:00,6,59,1
136576,2017/10/16 0:00,6,17,1
136563,2017/10/16 0:00,6,59,1
136665,2017/10/16 0:00,6,3,1
136662,2017/10/16 0:00,6,3,1
136649,2017/10/16 0:00,6,4,1
136636,2017/10/16 0:00,6,5,1
136623,2017/10/16 0:00,6,6,1
136610,2017/10/16 0:00,6,7,1
136597,2017/10/16 0:00,6,8,1
136571,2017/10/16 0:00,6,17,1
136558,2017/10/16 0:00,6,59,1
136652,2017/10/16 0:00,6,4,1
136639,2017/10/16 0:00,6,5,1
136626,2017/10/16 0:00,6,6,1
136613,2017/10/16 0:00,6,7,1
136600,2017/10/16 0:00,6,8,1
136574,2017/10/16 0:00,6,17,1
136561,2017/10/16 0:00,6,59,1
136519,2017/9/20 0:00,7,3,1
136506,2017/9/20 0:00,7,4,1
136493,2017/9/20 0:00,7,5,1
136480,2017/9/20 0:00,7,6,1
136467,2017/9/20 0:00,7,7,1
136454,2017/9/20 0:00,7,8,1
136428,2017/9/20 0:00,7,17,1
136415,2017/9/20 0:00,7,59,1
137109,2017/11/15 0:00,2,3,1
137043,2017/11/15 0:00,2,8,1
137062,2017/11/15 0:00,2,6,1
137063,2017/11/15 0:00,2,6,1
137076,2017/11/15 0:00,2,5,1
137101,2017/11/15 0:00,2,3,1
137102,2017/11/15 0:00,2,3,1
136900,2017/11/15 0:00,2,6,1
136901,2017/11/15 0:00,2,6,1
136858,2017/11/15 0:00,2,17,1
137129,2017/11/15 0:00,2,1,1
137130,2017/11/15 0:00,2,1,1
136836,2017/11/15 0:00,2,1,1
136907,2017/11/15 0:00,2,6,1
136855,2017/11/15 0:00,2,17,1
136854,2017/11/15 0:00,2,17,1
136853,2017/11/15 0:00,2,17,1
137096,2017/11/15 0:00,2,4,1
137089,2017/11/15 0:00,2,4,1
127410,2015/11/2 0:00,2,5,4
127684,2015/11/2 0:00,2,5,4
137090,2017/11/15 0:00,2,4,1
125262,2015/3/23 0:00,7,2,5
125255,2015/3/23 0:00,7,2,5
127428,2015/11/2 0:00,2,3,4
127432,2015/11/2 0:00,2,3,4
135816,2017/6/28 0:00,3,5,2
127639,2015/11/2 0:00,2,8,4
127744,2015/11/2 0:00,2,6,4
137086,2017/11/15 0:00,2,4,1
137095,2017/11/15 0:00,2,4,1
127599,2015/11/2 0:00,2,17,4
135817,2017/6/28 0:00,3,6,2
135900,2017/6/28 0:00,3,1,2
127529,2015/11/2 0:00,2,5,4
137074,2017/11/15 0:00,2,5,1
127728,2015/11/2 0:00,2,1,4
127710,2015/11/2 0:00,2,2,4
127717,2015/11/2 0:00,2,2,4
127536,2015/11/2 0:00,2,5,4
127823,2015/12/17 0:00,9,4,4
127821,2015/12/17 0:00,9,5,4
137098,2017/11/15 0:00,2,4,1
137038,2017/11/15 0:00,2,8,1
127414,2015/11/2 0:00,2,5,4
127761,2015/11/2 0:00,2,38,4
127707,2015/11/2 0:00,2,3,4
127685,2015/11/2 0:00,2,5,4
127703,2015/11/2 0:00,2,3,4
135901,2017/6/28 0:00,3,2,2
135902,2017/6/28 0:00,3,3,2
127411,2015/11/2 0:00,2,5,4
125310,2015/4/22 0:00,9,57,5
137082,2017/11/15 0:00,2,5,1
127532,2015/11/2 0:00,2,5,4
125324,2015/4/22 0:00,9,6,5
137125,2017/11/15 0:00,2,1,1
137080,2017/11/15 0:00,2,5,1
127450,2015/11/2 0:00,2,1,4
135903,2017/6/28 0:00,3,4,2
127700,2015/11/2 0:00,2,3,4
136962,2017/11/15 0:00,2,1,1
127445,2015/11/2 0:00,2,2,4
127550,2015/11/2 0:00,2,3,4
127681,2015/11/2 0:00,2,5,4
136902,2017/11/15 0:00,2,6,1
137136,2017/11/15 0:00,2,1,1
127452,2015/11/2 0:00,2,1,4
127566,2015/11/2 0:00,2,2,4
136963,2017/11/15 0:00,2,1,1
127812,2015/12/17 0:00,9,6,4
127404,2015/11/2 0:00,2,6,4
125210,2015/3/23 0:00,7,6,5
127513,2015/11/2 0:00,2,7,4
135904,2017/6/28 0:00,3,5,2
127552,2015/11/2 0:00,2,3,4
135905,2017/6/28 0:00,3,6,2
125211,2015/3/23 0:00,7,6,5
125230,2015/3/23 0:00,7,4,5
137134,2017/11/15 0:00,2,1,1
137116,2017/11/15 0:00,2,2,1
127708,2015/11/2 0:00,2,3,4
135906,2017/6/28 0:00,3,7,2
127802,2015/12/17 0:00,9,8,4
127709,2015/11/2 0:00,2,3,4
135907,2017/6/28 0:00,3,8,2
135909,2017/6/28 0:00,3,17,2
127435,2015/11/2 0:00,2,3,4
127573,2015/11/2 0:00,2,1,4
135910,2017/6/28 0:00,3,59,2
135818,2017/6/28 0:00,3,7,2
127574,2015/11/2 0:00,2,1,4
135819,2017/6/28 0:00,3,8,2
135821,2017/6/28 0:00,3,17,2
135822,2017/6/28 0:00,3,59,2
127557,2015/11/2 0:00,2,3,4
135834,2017/6/28 0:00,3,1,2
137137,2017/11/15 0:00,2,1,1
136951,2017/11/15 0:00,2,2,1
127383,2015/11/2 0:00,2,17,4
135835,2017/6/28 0:00,3,2,2
135911,2017/6/28 0:00,3,1,2
136832,2017/11/15 0:00,2,1,1
137114,2017/11/15 0:00,2,2,1
136959,2017/11/15 0:00,2,1,1
135912,2017/6/28 0:00,3,2,2
135913,2017/6/28 0:00,3,3,2
137120,2017/11/15 0:00,2,2,1
127558,2015/11/2 0:00,2,2,4
135914,2017/6/28 0:00,3,4,2
136955,2017/11/15 0:00,2,2,1
136950,2017/11/15 0:00,2,2,1
127718,2015/11/2 0:00,2,2,4
135915,2017/6/28 0:00,3,5,2
135916,2017/6/28 0:00,3,6,2
137083,2017/11/15 0:00,2,5,1
135917,2017/6/28 0:00,3,7,2
135918,2017/6/28 0:00,3,8,2
125322,2015/4/22 0:00,9,6,5
125342,2015/4/22 0:00,9,4,5
125306,2015/4/22 0:00,9,57,5
125344,2015/4/22 0:00,9,4,5
135920,2017/6/28 0:00,3,17,2
125376,2015/4/22 0:00,9,1,5
125333,2015/4/22 0:00,9,5,5
125335,2015/4/22 0:00,9,5,5
135921,2017/6/28 0:00,3,59,2
135922,2017/6/28 0:00,3,1,2
125312,2015/4/22 0:00,9,17,5
127559,2015/11/2 0:00,2,2,4
127408,2015/11/2 0:00,2,6,4
127333,2015/8/30 0:00,19,4,4
125332,2015/4/22 0:00,9,5,5
125493,2015/4/27 0:00,2,17,5
135923,2017/6/28 0:00,3,2,2
127419,2015/11/2 0:00,2,4,4
127406,2015/11/2 0:00,2,6,4
125354,2015/4/22 0:00,9,3,5
135924,2017/6/28 0:00,3,3,2
135925,2017/6/28 0:00,3,4,2
135932,2017/6/28 0:00,3,59,2
135823,2017/6/28 0:00,3,1,2
135824,2017/6/28 0:00,3,2,2
135825,2017/6/28 0:00,3,3,2
135826,2017/6/28 0:00,3,4,2
135827,2017/6/28 0:00,3,5,2
135828,2017/6/28 0:00,3,6,2
135829,2017/6/28 0:00,3,7,2
127501,2015/11/2 0:00,2,8,4
127650,2015/11/2 0:00,2,7,4
136938,2017/11/15 0:00,2,3,1
137127,2017/11/15 0:00,2,1,1
137115,2017/11/15 0:00,2,2,1
136835,2017/11/15 0:00,2,1,1
137113,2017/11/15 0:00,2,2,1
136940,2017/11/15 0:00,2,3,1
136827,2017/11/15 0:00,2,1,1
136829,2017/11/15 0:00,2,1,1
136834,2017/11/15 0:00,2,1,1
136942,2017/11/15 0:00,2,3,1
136966,2017/11/15 0:00,2,1,1
136968,2017/11/15 0:00,2,1,1
136982,2017/11/15 0:00,2,17,1
136984,2017/11/15 0:00,2,17,1
136987,2017/11/15 0:00,2,17,1
136964,2017/11/15 0:00,2,1,1
136983,2017/11/15 0:00,2,17,1
136985,2017/11/15 0:00,2,17,1
136986,2017/11/15 0:00,2,17,1
137060,2017/11/15 0:00,2,6,1
136941,2017/11/15 0:00,2,3,1
