考勤ID,考勤类型ID,学生ID,时间
134389,9900200,13521,2018/1/27 14:34
134488,9900200,13734,2018/1/27 14:43
134490,9900200,13491,2018/1/27 14:43
134365,9900200,14267,2018/1/27 13:55
134392,9900200,14295,2018/1/27 14:34
134434,9900200,14238,2018/1/27 14:38
134484,9900200,14065,2018/1/27 14:42
134633,9900300,14295,2018/1/29 15:08
134640,9900300,14238,2018/1/29 15:15
134636,9900300,14339,2018/1/29 15:14
134684,9900300,14374,2018/1/29 15:33
138388,9900500,14683,2018/7/5 7:02
138419,9900400,14552,2018/7/6 6:56
138421,9900500,14552,2018/7/6 7:00
138582,9900400,13982,2018/9/14 6:31
138616,9900400,14359,2018/9/14 12:01
133071,9900200,14209,2018/1/2 7:11
133113,9900100,14267,2017/12/28 8:30
133131,9900100,14238,2018/1/3 7:30
133170,9900100,14267,2018/1/5 7:37
130581,9900200,12998,2016/11/3 7:17
130610,9900100,13018,2016/11/8 7:31
130628,9900100,12810,2016/11/14 7:28
137086,9900500,14552,2018/5/28 6:30
137142,9900500,14552,2018/5/29 6:25
137222,9900500,14867,2018/5/30 6:14
137509,9900400,14552,2018/6/4 6:17
137510,9900500,14552,2018/6/4 6:21
139584,9900400,13950,2018/10/12 7:00
139594,9900500,13950,2018/10/12 7:08
139707,9900400,13982,2018/10/15 6:30
139710,9900500,13982,2018/10/15 6:52
139732,9900200,14221,2018/10/16 7:04
139754,9900400,13950,2018/10/17 6:42
139793,9900500,13950,2018/10/18 6:55
139783,9900400,13950,2018/10/18 6:49
139762,9900500,13950,2018/10/17 6:50
139776,9900400,13982,2018/10/18 6:34
142517,9900400,13982,2019/1/16 6:58
142405,9900400,13982,2019/1/10 7:16
134995,9900100,14238,2018/4/16 7:29
134780,9900100,14209,2018/3/12 8:19
134890,9900100,14209,2018/3/22 7:27
134953,9900200,14238,2018/4/13 7:26
130130,9900100,12508,2016/9/12 7:26
130317,9900300,12851,2016/9/19 16:52
130184,9900300,12595,2016/9/19 16:35
130185,9900300,12779,2016/9/19 16:35
130186,9900300,12508,2016/9/19 16:35
130362,9900300,12723,2016/9/20 15:04
130370,9900300,12719,2016/9/20 15:21
130224,9900300,12527,2016/9/19 16:40
130635,9900100,12967,2016/11/15 7:31
130684,9900100,12508,2016/11/23 7:34
130698,9900100,12508,2016/11/25 7:28
130702,9900100,12492,2016/11/28 7:27
130772,9900100,12508,2016/12/8 7:27
130668,9900100,12628,2016/11/14 7:30
136526,9900500,13949,2018/5/17 7:22
136695,9900400,13849,2018/5/21 8:10
130547,9900200,12471,2016/10/28 7:59
130726,9900100,12806,2016/11/29 8:25
136188,9900500,13860,2018/5/11 7:53
136521,9900400,13949,2018/5/17 7:03
136627,9900400,13849,2018/5/18 15:14
133024,9900100,13860,2017/12/26 7:28
137091,9900400,13852,2018/5/28 6:47
137149,9900500,13852,2018/5/29 6:52
137194,9900200,14903,2018/5/29 17:47
137195,9900500,14903,2018/5/29 17:47
137196,9900500,14899,2018/5/29 17:47
137286,9900500,13852,2018/5/31 7:02
137348,9900500,13852,2018/6/1 6:30
137400,9900400,14899,2018/6/1 17:36
137455,9900400,14889,2018/6/2 16:32
137468,9900400,14903,2018/6/2 17:21
137469,9900500,14903,2018/6/2 17:33
137480,9900500,14889,2018/6/2 18:44
137340,9900400,13852,2018/6/1 6:22
137484,9900400,14889,2018/6/3 7:08
137513,9900400,13852,2018/6/4 6:41
137514,9900500,13852,2018/6/4 6:45
137404,9900500,14899,2018/6/1 17:47
138429,9900400,14674,2018/9/2 16:38
132930,9900200,14388,2017/12/15 7:22
133006,9900100,13616,2017/12/21 13:30
133088,9900100,13942,2018/1/2 7:37
130446,9900200,14316,2016/10/7 7:13
130497,9900100,14437,2016/10/24 7:32
130515,9900200,13686,2016/10/28 7:06
134375,9900200,13526,2018/1/27 14:32
134387,9900200,13592,2018/1/27 14:34
134424,9900200,13759,2018/1/27 14:37
134527,9900200,13852,2018/1/27 14:46
130432,9900100,12834,2016/9/30 7:30
130729,9900100,14405,2016/11/30 7:28
130809,9900100,12834,2016/12/14 7:28
130825,9900100,13547,2016/12/15 7:27
130840,9900100,12834,2016/12/16 7:29
130706,9900100,12833,2016/11/28 7:30
136327,9900400,13759,2018/5/11 15:19
134813,9900300,13901,2018/3/15 11:35
134855,9900300,13616,2018/3/16 9:38
135106,9900500,13852,2018/4/19 6:51
130113,9900100,12583,2016/9/2 7:28
130490,9900100,12834,2016/10/24 7:28
130378,9900200,14437,2016/9/21 7:16
130508,9900200,12583,2016/10/26 7:23
135014,9900500,13852,2018/4/17 6:53
135147,9900500,13852,2018/4/20 6:46
136427,9900500,13852,2018/5/15 6:50
136509,9900400,13852,2018/5/17 6:43
136423,9900400,13852,2018/5/15 6:46
134505,9900200,13543,2018/1/27 14:44
134779,9900100,13024,2018/3/13 7:29
134752,9900200,13543,2018/3/7 7:14
137240,9900200,13521,2018/5/30 7:25
137244,9900100,13696,2018/5/30 7:27
139737,9900400,14857,2018/10/16 8:32
139696,9900500,14910,2018/10/14 13:14
142481,9900400,14930,2019/1/14 15:50
142486,9900500,14930,2019/1/14 18:06
142574,9900400,14542,2019/1/18 6:44
134952,9900200,13653,2018/4/13 7:24
134993,9900100,13024,2018/4/16 7:28
134723,9900100,13024,2018/2/28 7:30
134791,9900300,13894,2018/3/15 9:21
134821,9900300,13879,2018/3/15 11:36
134822,9900300,13501,2018/3/15 11:36
134827,9900300,13791,2018/3/15 11:37
134888,9900100,13653,2018/3/22 7:27
135060,9900500,13543,2018/4/17 17:40
135082,9900100,13543,2018/4/18 11:14
135083,9900100,13543,2018/4/18 12:42
130438,9900100,14172,2016/10/5 8:14
133193,9900100,13014,2018/1/9 7:27
133372,9900100,13491,2018/1/17 7:27
130624,9900200,12908,2016/11/9 10:33
130814,9900100,13514,2016/12/14 7:29
130675,9900100,12908,2016/11/22 7:31
130682,9900100,14172,2016/11/23 7:31
130870,9900200,12908,2016/12/23 7:22
136280,9900400,13920,2018/5/11 13:54
136178,9900500,13734,2018/5/11 7:48
136248,9900400,13894,2018/5/11 12:16
136441,9900500,13521,2018/5/15 7:26
131593,9900100,13514,2017/6/16 7:37
133176,9900100,13543,2018/1/8 7:28
133177,9900100,13543,2018/1/8 7:28
137003,9900500,13931,2018/5/25 7:49
137006,9900500,13734,2018/5/25 7:51
137032,9900500,13823,2018/5/25 8:09
137044,9900500,13894,2018/5/25 9:35
131619,9900100,13514,2017/6/27 7:28
131934,9900300,13791,2017/9/21 11:45
137133,9900500,14910,2018/5/28 17:50
137134,9900500,14910,2018/5/28 17:50
137137,9900500,14930,2018/5/28 18:02
137398,9900400,14884,2018/6/1 17:29
137406,9900500,14930,2018/6/1 17:53
138349,9900500,14910,2018/7/3 17:46
138462,9900400,14822,2018/9/4 15:10
138347,9900400,14910,2018/7/3 17:40
132981,9900100,14431,2017/12/20 7:29
133089,9900100,14431,2018/1/2 7:37
133151,9900200,14444,2018/1/4 7:37
133303,9900300,14421,2018/1/15 12:37
130803,9900100,12810,2016/12/13 8:13
130807,9900100,12810,2016/12/14 7:26
130788,9900100,13018,2016/12/12 7:32
130826,9900200,12967,2016/12/15 7:27
130827,9900100,12967,2016/12/15 7:28
130676,9900100,12778,2016/11/22 7:33
136228,9900400,14054,2018/5/11 11:47
136110,9900100,14267,2018/5/10 8:17
134294,9900300,13640,2018/1/27 11:44
134439,9900200,13940,2018/1/27 14:38
134472,9900200,13666,2018/1/27 14:41
134371,9900300,13930,2018/1/27 14:23
134421,9900200,14012,2018/1/27 14:36
134428,9900200,13955,2018/1/27 14:37
134513,9900200,14002,2018/1/27 14:45
134857,9900300,13569,2018/3/16 10:50
134858,9900300,13940,2018/3/16 10:50
134859,9900300,13569,2018/3/16 10:50
137314,9900400,13930,2018/5/31 12:05
137270,9900400,13930,2018/5/30 12:30
139694,9900400,15956,2018/10/14 12:34
139630,9900400,15907,2018/10/14 10:05
139681,9900500,15907,2018/10/14 12:08
139700,9900500,15956,2018/10/14 14:20
139714,9900400,14065,2018/10/15 10:31
138565,9900400,14131,2018/9/12 15:51
138627,9900500,15907,2018/9/15 18:36
138703,9900200,14238,2018/9/17 7:18
130577,9900200,14199,2016/11/3 7:00
130506,9900200,13676,2016/10/26 7:18
142490,9900400,14702,2019/1/14 18:30
142530,9900100,14238,2019/1/16 7:27
139897,9900400,15907,2018/10/21 10:12
139913,9900500,15907,2018/10/21 11:15
139961,9900100,14238,2018/10/22 7:28
140049,9900200,14702,2018/10/25 6:57
140050,9900500,14702,2018/10/25 6:57
130111,9900100,12554,2016/9/2 7:27
130367,9900300,12762,2016/9/20 15:11
130228,9900300,12762,2016/9/19 16:40
130229,9900300,12762,2016/9/19 16:40
130344,9900300,12469,2016/9/20 9:42
130379,9900200,13551,2016/9/21 7:24
130690,9900100,14336,2016/11/24 7:27
136542,9900400,13582,2018/5/17 11:25
136615,9900400,13582,2018/5/18 12:31
140048,9900400,14702,2018/10/25 6:48
140083,9900400,15492,2018/10/26 6:36
140091,9900500,15492,2018/10/26 6:56
137632,9900400,13513,2018/6/8 7:33
137642,9900500,13513,2018/6/8 7:47
137695,9900500,13513,2018/6/8 11:29
137664,9900400,13513,2018/6/8 10:40
137820,9900400,14012,2018/6/10 15:30
137025,9900500,13940,2018/5/25 8:06
136677,9900400,13852,2018/5/21 6:38
136817,9900400,13852,2018/5/23 6:46
136764,9900500,13852,2018/5/22 6:48
136818,9900500,13852,2018/5/23 6:50
136762,9900400,13852,2018/5/22 6:44
131052,9900200,12834,2017/2/16 7:25
113778,300100,12035,2014/2/24 6:33
113810,300100,12377,2014/2/24 6:34
113994,300100,11741,2014/2/24 6:41
114100,100100,11225,2014/2/25 7:37
114133,300100,12377,2014/2/27 6:32
136507,9900400,13852,2018/5/17 6:40
136678,9900500,13852,2018/5/21 6:43
133021,9900200,14388,2017/12/26 7:24
133080,9900100,14388,2018/1/2 7:30
136909,9900400,13852,2018/5/24 6:46
132931,9900200,13908,2017/12/15 7:25
132970,9900100,12973,2017/12/19 7:30
133010,9900100,12973,2017/12/22 13:30
133133,9900100,12973,2018/1/3 7:31
134325,9900300,13905,2018/1/27 12:21
134336,9900300,13797,2018/1/27 12:31
134372,9900300,13661,2018/1/27 14:26
134180,9900200,13793,2018/1/27 10:48
134374,9900300,13505,2018/1/27 14:30
134410,9900200,13604,2018/1/27 14:36
134575,9900200,13777,2018/1/27 15:03
134736,9900100,12973,2018/3/1 7:30
134795,9900300,13505,2018/3/15 9:34
134842,9900300,13661,2018/3/15 15:06
134856,9900300,13832,2018/3/16 9:49
137110,9900100,13850,2018/5/28 7:28
137124,9900400,13661,2018/5/28 12:47
142465,9900500,14868,2019/1/12 17:35
142635,9900100,15488,2019/1/19 7:29
134719,9900100,12973,2018/2/26 7:30
134740,9900100,12988,2018/3/5 7:28
134776,9900200,13017,2018/3/13 7:21
134796,9900300,13864,2018/3/15 9:36
134817,9900300,13905,2018/3/15 11:36
134824,9900300,13793,2018/3/15 11:36
134843,9900300,13539,2018/3/15 15:11
134844,9900300,13604,2018/3/15 15:11
134891,9900100,13017,2018/3/22 7:29
134926,9900200,13777,2018/3/30 7:15
134898,9900200,13777,2018/3/23 7:04
134960,9900100,13850,2018/4/13 7:29
130119,9900200,12942,2016/9/7 7:11
130407,9900200,14061,2016/9/28 7:06
130491,9900100,12936,2016/10/24 7:28
133293,9900300,12995,2018/1/15 11:52
130566,9900200,14061,2016/11/1 7:10
130591,9900200,14061,2016/11/4 7:09
130777,9900100,12942,2016/12/9 7:37
130654,9900100,13526,2016/11/18 7:37
134331,9900300,13815,2018/1/27 12:24
134420,9900200,13815,2018/1/27 14:36
134422,9900200,14035,2018/1/27 14:36
134540,9900200,13578,2018/1/27 14:49
134560,9900200,13966,2018/1/27 14:53
134497,9900200,14145,2018/1/27 14:43
134590,9900200,13900,2018/1/27 15:58
134695,9900100,14145,2018/2/26 7:28
134687,9900300,14035,2018/1/29 15:37
137168,9900400,13602,2018/5/29 11:02
139671,9900500,15936,2018/10/14 12:03
139672,9900500,15904,2018/10/14 12:03
139693,9900400,15943,2018/10/14 12:33
139695,9900500,15943,2018/10/14 12:46
139526,9900400,14105,2018/10/11 10:33
139628,9900400,15947,2018/10/14 10:05
139683,9900500,15911,2018/10/14 12:08
139664,9900500,15960,2018/10/14 11:39
139665,9900500,15947,2018/10/14 11:39
138659,9900400,15936,2018/9/16 10:17
138680,9900500,15936,2018/9/16 12:15
138675,9900500,15919,2018/9/16 12:04
138687,9900500,15904,2018/9/16 12:25
132905,9900100,13578,2017/12/14 7:27
133094,9900100,13966,2018/1/2 7:37
133221,9900100,13578,2018/1/12 7:28
130514,9900200,12880,2016/10/28 7:05
130567,9900200,14017,2016/11/1 7:24
130553,9900200,13897,2016/10/28 8:03
130553,9900200,14043,2016/10/28 8:03
130585,9900100,13897,2016/11/3 7:29
130585,9900100,14043,2016/11/3 7:29
139869,9900400,15943,2018/10/20 17:00
139870,9900400,15947,2018/10/20 17:00
139898,9900400,15936,2018/10/21 10:12
139899,9900400,15911,2018/10/21 10:12
139904,9900400,15943,2018/10/21 10:17
139871,9900500,15947,2018/10/20 18:02
139872,9900500,15943,2018/10/20 18:02
139901,9900400,15947,2018/10/21 10:12
139912,9900500,15911,2018/10/21 11:14
139927,9900500,15943,2018/10/21 11:58
139928,9900500,15936,2018/10/21 12:01
139930,9900500,15947,2018/10/21 12:02
134933,9900100,13578,2018/4/3 7:30
130410,9900200,14017,2016/9/28 7:15
130411,9900200,14017,2016/9/28 7:15
130540,9900200,13654,2016/10/28 7:46
136769,9900200,13578,2018/5/22 7:27
136770,9900100,13578,2018/5/22 7:27
136578,9900400,13800,2018/5/17 15:35
133075,9900100,13578,2018/1/2 7:27
133090,9900200,13966,2018/1/2 7:37
136974,9900500,13578,2018/5/25 7:28
131809,9900300,13676,2017/6/30 10:48
131897,9900100,14002,2017/9/21 7:34
132116,9900300,13666,2017/9/21 16:45
132122,9900300,13513,2017/9/21 16:46
132133,9900300,13640,2017/9/21 16:47
117787,300100,10857,2014/3/21 6:43
117793,300100,10868,2014/3/21 6:43
117794,300100,10868,2014/3/21 6:43
117838,300100,12229,2014/3/21 6:48
118013,300200,11950,2014/3/21 10:12
118000,300200,11986,2014/3/21 10:11
118092,300100,11050,2014/3/24 6:38
118113,300100,10889,2014/3/24 6:40
118186,300100,10868,2014/3/24 6:44
118187,300100,10868,2014/3/24 6:44
137117,9900100,13750,2018/5/28 7:30
137363,9900500,14562,2018/6/1 7:08
137410,9900400,14914,2018/6/1 17:56
137456,9900400,14914,2018/6/2 16:48
137486,9900400,14911,2018/6/3 8:33
137487,9900500,14911,2018/6/3 9:45
137342,9900400,14562,2018/6/1 6:22
137415,9900500,14914,2018/6/1 18:01
137479,9900500,14914,2018/6/2 18:22
132927,9900100,14386,2017/12/14 8:19
133296,9900300,14429,2018/1/15 11:52
130575,9900100,12805,2016/11/2 7:36
134343,9900200,13870,2018/1/27 12:38
134223,9900200,13904,2018/1/27 11:07
134388,9900200,13579,2018/1/27 14:34
134511,9900200,13518,2018/1/27 14:45
134601,9900100,13644,2018/1/29 8:03
130623,9900200,14450,2016/11/9 10:33
130755,9900100,12805,2016/12/6 7:29
130570,9900100,12805,2016/11/1 8:11
130656,9900100,12808,2016/11/21 7:29
130815,9900100,12808,2016/12/14 7:30
130816,9900100,12818,2016/12/14 7:31
134832,9900300,13518,2018/3/15 11:38
134852,9900300,13904,2018/3/16 9:37
130427,9900100,12818,2016/9/29 7:40
130461,9900100,12667,2016/10/10 7:42
130534,9900200,12818,2016/10/28 7:41
113504,100100,11244,2014/2/18 7:37
113772,300100,11769,2014/2/24 6:31
113790,300100,11773,2014/2/24 6:33
113791,300100,11773,2014/2/24 6:33
113895,300100,12287,2014/2/24 6:37
113811,300100,11730,2014/2/24 6:34
113812,300100,12252,2014/2/24 6:34
113813,300100,12252,2014/2/24 6:34
113883,300100,11985,2014/2/24 6:37
114030,300100,11141,2014/2/24 6:43
114156,300100,11773,2014/2/27 6:34
114157,300100,11773,2014/2/27 6:34
114165,300100,12252,2014/2/27 6:35
133210,9900100,14444,2018/1/11 7:35
133408,9900300,14431,2018/1/17 12:54
134312,9900300,13496,2018/1/27 12:07
134382,9900200,13514,2018/1/27 14:33
134436,9900200,13537,2018/1/27 14:38
134534,9900200,13739,2018/1/27 14:47
134716,9900100,14421,2018/2/28 9:02
134802,9900300,12725,2018/3/15 11:23
134711,9900100,14444,2018/2/28 7:28
134739,9900100,13739,2018/3/5 7:27
130614,9900200,14433,2016/11/9 7:10
136326,9900400,13514,2018/5/11 15:19
134322,9900300,14042,2018/1/27 12:13
134288,9900200,14124,2018/1/27 11:33
134356,9900300,13486,2018/1/27 12:53
134232,9900200,14196,2018/1/27 11:09
134258,9900200,14042,2018/1/27 11:15
134397,9900200,13924,2018/1/27 14:35
134514,9900200,13633,2018/1/27 14:45
134523,9900200,13960,2018/1/27 14:46
137241,9900100,14334,2018/5/30 7:27
139585,9900400,14026,2018/10/12 7:00
139595,9900500,14026,2018/10/12 7:09
139753,9900400,14026,2018/10/17 6:42
139794,9900500,14026,2018/10/18 6:55
139761,9900500,14026,2018/10/17 6:50
139784,9900400,14026,2018/10/18 6:49
138321,9900100,14334,2018/7/2 7:30
138453,9900100,14278,2018/9/4 7:28
138750,9900400,14026,2018/9/19 6:33
132978,9900100,14241,2017/12/20 7:27
132916,9900100,14334,2017/12/14 7:29
130563,9900100,14309,2016/10/31 7:33
130603,9900100,14309,2016/11/7 7:31
134653,9900300,14379,2018/1/29 15:19
134958,9900100,14452,2018/4/13 7:28
134799,9900300,13552,2018/3/15 10:07
134808,9900300,13924,2018/3/15 11:34
135125,9900400,13633,2018/4/19 15:28
130517,9900200,13833,2016/10/28 7:11
142565,9900500,15474,2019/1/17 12:31
139951,9900400,14026,2018/10/22 6:54
139955,9900500,14026,2018/10/22 7:01
140052,9900500,14026,2018/10/25 6:58
140047,9900400,14026,2018/10/25 6:48
140235,9900400,14026,2018/10/29 6:51
130512,9900100,14309,2016/10/26 7:46
130672,9900200,14309,2016/11/22 7:23
130694,9900100,14309,2016/11/24 7:30
130657,9900100,14309,2016/11/21 7:31
130786,9900100,14309,2016/12/12 7:31
130813,9900100,14309,2016/12/14 7:29
136176,9900500,13633,2018/5/11 7:47
136458,9900400,14241,2018/5/15 16:28
136547,9900500,14124,2018/5/17 12:22
130853,9900100,13850,2016/12/20 7:29
136186,9900500,13539,2018/5/11 7:53
136187,9900500,13832,2018/5/11 7:53
136268,9900400,13905,2018/5/11 12:49
136242,9900400,13760,2018/5/11 12:03
136450,9900400,13905,2018/5/15 10:10
133102,9900200,12973,2017/12/26 7:25
137014,9900500,13661,2018/5/25 7:56
137042,9900500,13850,2018/5/25 8:11
131615,9900100,13850,2017/6/26 7:28
131618,9900200,12470,2017/6/27 7:24
131862,9900100,12973,2017/9/12 7:26
140032,9900400,14753,2018/10/24 15:51
140137,9900400,14893,2018/10/27 16:36
140180,9900400,14893,2018/10/28 10:35
140191,9900500,14893,2018/10/28 11:42
140144,9900500,14893,2018/10/27 19:00
140593,9900400,14893,2018/11/13 12:13
140602,9900500,14893,2018/11/13 13:54
137706,9900500,13523,2018/6/8 11:47
131772,9900300,13908,2017/6/30 10:43
131782,9900300,13759,2017/6/30 10:44
131929,9900300,13793,2017/9/21 11:09
134314,9900300,14248,2018/1/27 12:09
134315,9900300,14055,2018/1/27 12:09
134328,9900300,13557,2018/1/27 12:23
134333,9900300,13690,2018/1/27 12:26
134376,9900200,13690,2018/1/27 14:33
134358,9900200,13776,2018/1/27 13:04
134443,9900200,14360,2018/1/27 14:38
134562,9900200,14230,2018/1/27 14:53
134500,9900200,13594,2018/1/27 14:44
137253,9900100,13690,2018/5/30 7:31
137361,9900500,14695,2018/6/1 7:08
137343,9900400,14695,2018/6/1 6:22
142417,9900400,14467,2019/1/10 11:27
142438,9900400,14470,2019/1/10 16:13
138457,9900400,14467,2018/9/4 10:23
138459,9900500,14467,2018/9/4 11:40
132986,9900100,13776,2017/12/21 7:29
130543,9900200,13690,2016/10/28 7:52
130580,9900200,14315,2016/11/3 7:12
130605,9900100,14023,2016/11/8 7:29
134651,9900300,14316,2018/1/29 15:18
134792,9900300,13857,2018/3/15 9:23
130334,9900200,14034,2016/9/20 7:08
139843,9900400,14462,2018/10/19 16:34
139852,9900400,14122,2018/10/19 16:37
139853,9900400,14126,2018/10/19 16:38
140029,9900400,14462,2018/10/24 15:42
140117,9900400,14122,2018/10/26 16:34
140128,9900400,14320,2018/10/26 16:42
130741,9900100,14314,2016/12/2 8:18
130752,9900100,13776,2016/12/5 7:33
130773,9900100,14314,2016/12/8 7:27
140075,9900400,14226,2018/10/25 15:48
140133,9900400,15943,2018/10/27 16:20
140141,9900500,15943,2018/10/27 17:24
140168,9900400,15911,2018/10/28 10:10
140169,9900400,15904,2018/10/28 10:11
140176,9900400,15943,2018/10/28 10:13
140177,9900400,15947,2018/10/28 10:13
140225,9900500,15911,2018/10/28 12:37
140226,9900500,15904,2018/10/28 12:37
140153,9900400,15936,2018/10/28 10:01
137191,9900400,14943,2018/5/29 17:45
137138,9900500,14943,2018/5/28 18:02
137193,9900400,14938,2018/5/29 17:45
137201,9900500,14943,2018/5/29 17:48
137202,9900500,14931,2018/5/29 17:51
137214,9900500,14938,2018/5/29 18:11
137275,9900400,14943,2018/5/30 17:42
137414,9900400,15007,2018/6/1 18:01
137441,9900500,15007,2018/6/2 12:24
137491,9900400,15007,2018/6/3 11:27
137505,9900500,15007,2018/6/3 14:36
137422,9900500,15007,2018/6/1 18:42
137423,9900500,14931,2018/6/1 18:42
137465,9900400,15007,2018/6/2 17:08
137481,9900500,14931,2018/6/2 18:44
138279,9900400,14931,2018/6/30 15:07
138324,9900100,14415,2018/7/2 7:32
132920,9900100,14415,2017/12/14 7:30
133027,9900200,14415,2017/12/27 7:05
133124,9900100,14424,2018/1/3 7:28
133273,9900300,14424,2018/1/15 11:43
133304,9900300,14430,2018/1/15 12:48
133413,9900300,14415,2018/1/17 12:55
130561,9900100,12567,2016/10/31 7:27
134332,9900300,13721,2018/1/27 12:25
134221,9900200,13485,2018/1/27 11:07
134474,9900200,13899,2018/1/27 14:41
134395,9900200,13538,2018/1/27 14:34
134353,9900300,13538,2018/1/27 12:48
134435,9900200,13485,2018/1/27 14:38
134438,9900200,13747,2018/1/27 14:38
134521,9900200,13708,2018/1/27 14:46
134536,9900200,13721,2018/1/27 14:47
134593,9900200,13788,2018/1/27 16:05
134600,9900100,13527,2018/1/29 8:03
134704,9900200,14415,2018/2/28 7:09
134715,9900100,14430,2018/2/28 9:02
130481,9900200,13984,2016/10/13 7:11
130526,9900200,12839,2016/10/28 7:26
130782,9900100,12540,2016/12/12 7:27
130791,9900100,14186,2016/12/12 7:34
134845,9900300,13899,2018/3/15 15:17
134923,9900200,14430,2018/3/30 7:00
130101,9900200,12839,2016/8/31 6:54
114166,300100,12252,2014/2/27 6:35
114193,300100,11730,2014/2/27 6:38
136180,9900500,13489,2018/5/11 7:49
136580,9900400,13579,2018/5/17 15:36
136990,9900500,13644,2018/5/25 7:38
136831,9900100,13750,2018/5/23 7:29
137043,9900500,13750,2018/5/25 8:14
131875,9900200,13904,2017/9/14 7:15
131859,9900200,13724,2017/9/12 7:11
142421,9900400,14806,2019/1/10 13:05
